in_date,cnt
2023-04-02,1
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,20
2023-04-11,22
2023-04-12,37
2023-04-13,47
2023-04-14,22
2023-04-15,30
2023-04-16,33
2023-04-17,48
2023-04-18,29
2023-04-19,27
2023-04-20,34
2023-04-21,28
2023-04-22,20
2023-04-23,24
2023-04-24,19
2023-04-25,23
2023-04-26,23
2023-04-27,18
2023-04-28,22
2023-04-29,19
2023-04-30,17
2023-05-01,21
2023-05-02,23
2023-05-03,22
2023-05-04,30
2023-05-05,39
2023-05-06,44
2023-05-07,34
2023-05-08,29
2023-05-09,27
2023-05-10,32
2023-05-11,31
2023-05-12,33
2023-05-13,46
2023-05-14,25
2023-05-15,32
2023-05-16,32
2023-05-17,25
2023-05-18,32
2023-05-19,33
2023-05-20,29
2023-05-21,24
2023-05-22,35
2023-05-23,19
2023-05-24,29
2023-05-25,27
2023-05-26,29
2023-05-27,25
2023-05-28,20
2023-05-29,23
2023-05-30,15
2023-05-31,28
2023-06-01,22
2023-06-02,23
2023-06-03,20
2023-06-04,15
2023-06-05,13
2023-06-06,22
2023-06-07,11
2023-06-08,20
2023-06-09,12
2023-06-10,20
2023-06-11,10
2023-06-12,23
2023-06-13,17
2023-06-14,23
2023-06-15,12
2023-06-16,14
2023-06-17,19
2023-06-18,14
2023-06-19,23
2023-06-20,17
2023-06-21,14
2023-06-22,14
2023-06-23,15
2023-06-24,15
2023-06-25,17
2023-06-26,17
2023-06-27,19
2023-06-28,15
2023-06-29,22
2023-06-30,15
2023-07-01,19
2023-07-02,13
2023-07-03,15
2023-07-04,17
2023-07-05,20
2023-07-06,14
2023-07-07,9
2023-07-08,11
2023-07-09,14
2023-07-10,4
